equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk
Tanks,M-55S,,Slovenia,2,,,,,,1.0,,,,1.0,,
Tanks,T-64A,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Tanks,T-64B,,the Soviet Union,4,,,,1.0,,,,1.0,,2.0,,
Tanks,T-64BV,,the Soviet Union,420,,8.0,,48.0,8.0,31.0,13.0,3.0,,309.0,,
Tanks,T-64BV Zr. 2017,,Ukraine,137,,4.0,,31.0,1.0,5.0,7.0,1.0,,88.0,,
Tanks,T-64BVK,,the Soviet Union,2,,,,,,,,,,2.0,,
Tanks,T-64B1M,,Ukraine,10,,,,7.0,,,,,,3.0,,
Tanks,T-64BM 'Bulat',,Ukraine,26,,,,3.0,,3.0,,,,20.0,,
Tanks,T-64BM2 'Bulat',,Ukraine,4,,,,,,1.0,,,,3.0,,
Tanks,Unknown T-64,,Ukraine,2,,,,,,,,,,2.0,,
Tanks,T-72 'Ural',,the Soviet Union,12,,1.0,,1.0,,1.0,,,,9.0,,
Tanks,T-72M/M1(R),,Poland,110,,1.0,,9.0,,4.0,8.0,1.0,,87.0,,
Tanks,T-72EA,,the Czech Republic,20,,,,1.0,,2.0,3.0,,,14.0,,
Tanks,T-72AV,,the Soviet Union,74,,4.0,,6.0,,2.0,5.0,2.0,,55.0,,
Tanks,T-72B,,the Soviet Union,49,,,,5.0,,2.0,,1.0,,41.0,,
Tanks,T-72AMT,,Ukraine,25,,,,5.0,,1.0,2.0,2.0,,15.0,,
Tanks,T-72AMT Zr.2022,,Ukraine,3,,,,,,,,,,3.0,,
Tanks,PT-91 Twardy,,Poland,11,,,,,,1.0,3.0,,,7.0,,
Tanks,Unknown T-72,,Ukraine,33,,,,,,2.0,,,,31.0,,
Tanks,T-80BV,,the Soviet Union,79,,,,7.0,,4.0,3.0,6.0,,59.0,,
Tanks,T-80UD,,the Soviet Union,1,,,,,,1.0,,,,,,
Tanks,Leopard 1A5,,Germany,18,,,,,,1.0,4.0,,,13.0,,
Tanks,Leopard 2A4,,Germany,27,,,,,,6.0,6.0,2.0,,13.0,,
Tanks,Leopard 2A6,,Germany,13,,,,,,4.0,1.0,1.0,,7.0,,
Tanks,Stridsvagn 122,,Sweden,9,,,,,,2.0,6.0,,,1.0,,
Tanks,Challenger 2,,the United Kingdom,2,,,,,,,,,,2.0,,
Tanks,M1A1 SA Abrams,,the United States,22,,2.0,,,,1.0,8.0,1.0,,10.0,,
Tanks,Unknown tank,,Ukraine,84,,3.0,,,,5.0,3.0,,,73.0,,
Armoured Fighting Vehicles,BMPT Azovets,,Ukraine,1,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,AMX-10 RC(R),,France,6,,2.0,,1.0,,,,,,3.0,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,64,,3.0,,12.0,,2.0,2.0,1.0,,44.0,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,79,,,,27.0,,1.0,,,,51.0,,
Armoured Fighting Vehicles,BRDM-2T(A),,Ukraine,1,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,67,,,,20.0,,1.0,2.0,,,44.0,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,11,,,,2.0,,,,,,9.0,,
Armoured Fighting Vehicles,BRDM-2 'VEPR',,Ukraine,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,97,,,,8.0,,3.0,1.0,,,85.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,14,,,,2.0,,2.0,,,,10.0,,
